"Report_Name"	"Book Usage by Access Type"
"Report_ID"	"TR_B3"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_investigations; Unique_Title_Requests"
"Report_Filters"	"Data_Type=Book; Access_Method=Regular"
"Report_Attributes"	"Attributes_To_Show=Access_Type"
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"ISBN"	"Print_ISSN"	"Online_ISSN"	"URI"	"Access_Type"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Quenched-phosphorescence Detection of Molecular Oxygen: Applications in Life Sciences"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781788013451"	""	"978-1-78801-345-1"	"978-1-78801-175-4"	"2052-3076"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Controlled"	"Total_Item_Investigations"	"7"	"0"	"0"	"0"	"0"	"0"	"7"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Controlled"	"Total_Item_Requests"	"7"	"0"	"0"	"0"	"0"	"0"	"7"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Organic Synthesis using Samarium Diiodide: A Practical Guide"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849730754"	""	"978-1-84973-075-4"	"978-1-84755-110-8"	""	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"X-Ray Free Electron Lasers: Applications in Materials, Chemistry and Biology"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782624097"	""	"978-1-78262-409-7"	"978-1-84973-100-3"	"2044-0782"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"X-Ray Free Electron Lasers: Applications in Materials, Chemistry and Biology"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782624097"	""	"978-1-78262-409-7"	"978-1-84973-100-3"	"2044-0782"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"X-Ray Free Electron Lasers: Applications in Materials, Chemistry and Biology"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782624097"	""	"978-1-78262-409-7"	"978-1-84973-100-3"	"2044-0782"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"X-Ray Free Electron Lasers: Applications in Materials, Chemistry and Biology"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782624097"	""	"978-1-78262-409-7"	"978-1-84973-100-3"	"2044-0782"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"X-Ray Free Electron Lasers: Applications in Materials, Chemistry and Biology"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782624097"	""	"978-1-78262-409-7"	"978-1-84973-100-3"	"2044-0782"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"X-Ray Free Electron Lasers: Applications in Materials, Chemistry and Biology"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782624097"	""	"978-1-78262-409-7"	"978-1-84973-100-3"	"2044-0782"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Green Trends in Insect Control"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849732901"	""	"978-1-84973-290-1"	"978-1-84973-149-2"	"1757-7047"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Green Trends in Insect Control"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849732901"	""	"978-1-84973-290-1"	"978-1-84973-149-2"	"1757-7047"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Green Trends in Insect Control"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849732901"	""	"978-1-84973-290-1"	"978-1-84973-149-2"	"1757-7047"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Green Trends in Insect Control"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849732901"	""	"978-1-84973-290-1"	"978-1-84973-149-2"	"1757-7047"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Green Trends in Insect Control"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849732901"	""	"978-1-84973-290-1"	"978-1-84973-149-2"	"1757-7047"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Green Trends in Insect Control"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849732901"	""	"978-1-84973-290-1"	"978-1-84973-149-2"	"1757-7047"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Janus Particle Synthesis, Self-Assembly and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735100"	""	"978-1-84973-510-0"	"978-1-84973-423-3"	"2046-0074"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Janus Particle Synthesis, Self-Assembly and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735100"	""	"978-1-84973-510-0"	"978-1-84973-423-3"	"2046-0074"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Janus Particle Synthesis, Self-Assembly and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735100"	""	"978-1-84973-510-0"	"978-1-84973-423-3"	"2046-0074"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Janus Particle Synthesis, Self-Assembly and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735100"	""	"978-1-84973-510-0"	"978-1-84973-423-3"	"2046-0074"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Janus Particle Synthesis, Self-Assembly and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735100"	""	"978-1-84973-510-0"	"978-1-84973-423-3"	"2046-0074"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Janus Particle Synthesis, Self-Assembly and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735100"	""	"978-1-84973-510-0"	"978-1-84973-423-3"	"2046-0074"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Innovations in Biomolecular Modeling and Simulations 2"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735056"	""	"978-1-84973-505-6"	"978-1-84973-462-2"	"1757-7160"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Innovations in Biomolecular Modeling and Simulations 2"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735056"	""	"978-1-84973-505-6"	"978-1-84973-462-2"	"1757-7160"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Innovations in Biomolecular Modeling and Simulations 2"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735056"	""	"978-1-84973-505-6"	"978-1-84973-462-2"	"1757-7160"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Innovations in Biomolecular Modeling and Simulations 2"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735056"	""	"978-1-84973-505-6"	"978-1-84973-462-2"	"1757-7160"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Innovations in Biomolecular Modeling and Simulations 2"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735056"	""	"978-1-84973-505-6"	"978-1-84973-462-2"	"1757-7160"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Innovations in Biomolecular Modeling and Simulations 2"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849735056"	""	"978-1-84973-505-6"	"978-1-84973-462-2"	"1757-7160"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Magnetorheology: Advances and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849737548"	""	"978-1-84973-754-8"	"978-1-84973-667-1"	"2046-0074"	""	"Controlled"	"Total_Item_Investigations"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Magnetorheology: Advances and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849737548"	""	"978-1-84973-754-8"	"978-1-84973-667-1"	"2046-0074"	""	"Controlled"	"Total_Item_Requests"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"Magnetorheology: Advances and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849737548"	""	"978-1-84973-754-8"	"978-1-84973-667-1"	"2046-0074"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Magnetorheology: Advances and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849737548"	""	"978-1-84973-754-8"	"978-1-84973-667-1"	"2046-0074"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Magnetorheology: Advances and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849737548"	""	"978-1-84973-754-8"	"978-1-84973-667-1"	"2046-0074"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Magnetorheology: Advances and Applications"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781849737548"	""	"978-1-84973-754-8"	"978-1-84973-667-1"	"2046-0074"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Boron: Sensing, Synthesis and Supramolecular Self-Assembly"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622123"	""	"978-1-78262-212-3"	"978-1-84973-674-9"	"2041-7144"	""	"Controlled"	"Total_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Boron: Sensing, Synthesis and Supramolecular Self-Assembly"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622123"	""	"978-1-78262-212-3"	"978-1-84973-674-9"	"2041-7144"	""	"Controlled"	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Boron: Sensing, Synthesis and Supramolecular Self-Assembly"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622123"	""	"978-1-78262-212-3"	"978-1-84973-674-9"	"2041-7144"	""	"Controlled"	"Unique_Item_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Boron: Sensing, Synthesis and Supramolecular Self-Assembly"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622123"	""	"978-1-78262-212-3"	"978-1-84973-674-9"	"2041-7144"	""	"Controlled"	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Boron: Sensing, Synthesis and Supramolecular Self-Assembly"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622123"	""	"978-1-78262-212-3"	"978-1-84973-674-9"	"2041-7144"	""	"Controlled"	"Unique_Title_Investigations"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Boron: Sensing, Synthesis and Supramolecular Self-Assembly"	"Royal Society of Chemistry"	""	"RSC eBooks"	"10.1039/9781782622123"	""	"978-1-78262-212-3"	"978-1-84973-674-9"	"2041-7144"	""	"Controlled"	"Unique_Title_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
